binPid,n_hits,mlAnalyzed,lon,lat,conc_per_ml
D20241014T165834_IFCB125,8,3.987,-69.957882,43.792114,2.0065211938801104
D20241014T174008_IFCB127,10,1.125,-70.5667,41.325,8.88888888888889
D20241014T192112_IFCB125,24,3.959,-69.957882,43.792114,6.0621369032583985
D20241014T230013_IFCB145,1,3.688,-68.291261333,44.435696667,0.27114967462039047
D20241015T004927_IFCB193,3,4.473,-60.995846833,42.783062167,0.670690811535882
D20241015T031629_IFCB125,13,4.218,-69.957882,43.792114,3.0820293978188715
D20241015T053904_IFCB125,11,4.333,-69.957882,43.792114,2.538656819755366
D20241015T055737_IFCB127,17,1.401,-70.5667,41.325,12.134189864382584
D20241015T065022_IFCB125,13,4.184,-69.957882,43.792114,3.107074569789675
D20241015T142803_IFCB127,15,1.051,-70.5667,41.325,14.272121788772598
D20241016T001802_IFCB127,10,0.928,-70.5667,41.325,10.775862068965516
D20241016T012115_IFCB127,16,0.911,-70.5667,41.325,17.563117453347967
D20241016T113235_IFCB125,1,4.503,-69.957882,43.792114,0.22207417277370642
D20241016T130144_IFCB127,17,0.669,-70.5667,41.325,25.411061285500747
D20241017T000442_IFCB193,2,4.333,-57.74373217,43.69206967,0.4615739672282483
D20241017T060257_IFCB193,3,3.142,-58.16783267,44.16842833,0.9548058561425844
D20241017T080610_IFCB125,7,4.402,-69.957882,43.792114,1.5901862789641072
D20241018T022522_IFCB127,14,1.672,-70.5667,41.325,8.373205741626794
D20241018T030730_IFCB127,13,1.823,-70.5667,41.325,7.131102578167855
D20241018T035412_IFCB125,9,4.3,-69.957882,43.792114,2.0930232558139537
D20241018T054408_IFCB193,1,4.089,-58.50901833,44.475241,0.2445585717779408
D20241018T080332_IFCB125,2,4.359,-69.957882,43.792114,0.45882083046570316
D20241018T113816_IFCB127,2,1.743,-70.5667,41.325,1.1474469305794606
D20241018T134718_IFCB193,1,3.483,-59.19864067,45.16864767,0.2871088142405972
D20241018T161210_IFCB127,11,1.598,-70.5667,41.325,6.883604505632039
D20241018T195620_IFCB125,6,4.207,-69.957882,43.792114,1.4261944378416924
D20241018T202006_IFCB125,13,4.26,-69.957882,43.792114,3.051643192488263
D20241019T021205_IFCB193,16,4.047,-59.57131583,45.95426933,3.9535458364220415
D20241019T074910_IFCB125,2,4.265,-69.957882,43.792114,0.4689331770222744
D20241019T144546_IFCB127,13,1.38,-70.5667,41.325,9.420289855072465
D20241019T210507_IFCB125,13,4.156,-69.957882,43.792114,3.128007699711261
D20241020T024719_IFCB127,10,1.549,-70.5667,41.325,6.45577792123951
D20241020T083416_IFCB125,4,4.204,-69.957882,43.792114,0.9514747859181732
D20241020T141802_IFCB193,7,4.024,-59.4146225,47.58287433,1.739562624254473
D20241020T194344_IFCB127,11,1.597,-70.5667,41.325,6.88791484032561
D20241020T215021_IFCB125,24,4.067,-69.957882,43.792114,5.9011556429800835
D20241020T234912_IFCB125,16,4.113,-69.957882,43.792114,3.890104546559688
D20241021T003644_IFCB125,15,4.26,-69.957882,43.792114,3.5211267605633805
D20241021T113416_IFCB193,2,4.194,-59.19523967,46.216085,0.47687172150691465
D20241021T164820_IFCB193,15,3.939,-59.6239915,45.90310533,3.808073115003808
D20241022T125126_IFCB125,3,3.995,-69.957882,43.792114,0.7509386733416771
D20241022T151403_IFCB125,4,4.055,-69.957882,43.792114,0.9864364981504317
D20241022T234456_IFCB125,16,3.966,-69.957882,43.792114,4.034291477559253
D20241023T100258_IFCB125,2,3.981,-69.957882,43.792114,0.5023863350916855
D20241023T102644_IFCB125,2,3.938,-69.957882,43.792114,0.5078720162519045
D20241024T092558_IFCB125,2,4.067,-69.957882,43.792114,0.49176297024834026
